Ref,Val,Package,PosX,PosY,Rot,Side
"C22","10uF 6.3V 0402 20%","C_0402_1005Metric",13.400000,9.320000,180.000000,bottom
"C23","1uF 25V 0402 10%","C_0402_1005Metric",13.390000,10.300000,180.000000,bottom
"C24","0.1uF 35V 0402 10%","C_0402_1005Metric",15.270000,10.310000,0.000000,bottom
"C25","120uF 6.3V 1210 20%","C_1210_3225Metric",14.900000,7.190000,180.000000,bottom
"C44","10uF 6.3V 0402 20%","C_0402_1005Metric",66.210000,8.470000,90.000000,bottom
"C45","1uF 25V 0402 10%","C_0402_1005Metric",67.200000,8.480000,90.000000,bottom
"C46","0.1uF 35V 0402 10%","C_0402_1005Metric",67.190000,6.580000,-90.000000,bottom
"C47","120uF 6.3V 1210 20%","C_1210_3225Metric",64.080000,7.570000,90.000000,bottom
"C52","10uF 6.3V 0402 20%","C_0402_1005Metric",11.680000,61.210000,180.000000,bottom
"C53","1uF 25V 0402 10%","C_0402_1005Metric",11.690000,62.190000,180.000000,bottom
"C54","0.1uF 35V 0402 10%","C_0402_1005Metric",13.570000,62.200000,0.000000,bottom
"C55","120uF 6.3V 1210 20%","C_1210_3225Metric",15.870000,60.080000,0.000000,bottom
"FB1","BLM18EG121SH1D","BLM18EG121SH1D",18.730000,7.160000,0.000000,bottom
"FB2","BLM18EG121SH1D","BLM18EG121SH1D",60.940000,6.300000,180.000000,bottom
"FB3","BLM18EG121SH1D","BLM18EG121SH1D",6.400000,57.100000,-90.000000,bottom
"IC3","AP22816AKCWT-7","SOT95P280X100-5N",14.190000,12.930000,90.000000,bottom
"IC7","AP22816AKCWT-7","SOT95P280X100-5N",69.800000,7.700000,0.000000,bottom
"IC9","AP22816AKCWT-7","SOT95P280X100-5N",12.490000,64.800000,90.000000,bottom
"R2","10K 0402 1% 1/16W","R_0402_1005Metric",30.620000,31.050000,0.000000,bottom
"R3","200K 0402 1% 1/10W","R_0402_1005Metric",30.620000,33.000000,0.000000,bottom
"R4","200K 0402 1% 1/10W","R_0402_1005Metric",30.620000,30.080000,0.000000,bottom
"R19","10K 0402 1% 1/16W","R_0402_1005Metric",30.620000,32.020000,0.000000,bottom
"R26","12K 0402 1% 1/10W","R_0402_1005Metric",35.646320,45.104746,180.000000,bottom
"R27","10K 0402 1% 1/16W","R_0402_1005Metric",40.400000,36.500000,90.000000,bottom
"R28","10K 0402 1% 1/16W","R_0402_1005Metric",42.150000,36.500000,90.000000,bottom
"R29","10K 0402 1% 1/16W","R_0402_1005Metric",41.800000,44.775000,-90.000000,bottom
"R30","10K 0402 1% 1/16W","R_0402_1005Metric",43.475000,44.775000,-90.000000,bottom
"R33","100K 0402 1% 1/16W","R_0402_1005Metric",40.800000,43.750000,90.000000,bottom
"R34","100K 0402 1% 1/16W","R_0402_1005Metric",39.800000,43.750000,90.000000,bottom
"R35","0R 0402 1/16W","R_0402_1005Metric",12.640000,15.520000,180.000000,bottom
"R36","0R 0402 1/16W","R_0402_1005Metric",14.540000,15.520000,180.000000,bottom
"R37","10K 0402 1% 1/16W","R_0402_1005Metric",53.380000,57.710000,90.000000,bottom
"R39","10K 0402 1% 1/16W","R_0402_1005Metric",77.700000,47.625000,90.000000,bottom
"R46","0R 0402 1/16W","R_0402_1005Metric",72.450000,9.190000,90.000000,bottom
